Geometria,Distance(cm),Material,Campo,Historias,Energy(eV),Seed1,Seed2,Filtro,ROI1,Erro ROI1,ROI2,Erro ROI2,ROI3,Erro ROI3,ROI4,Erro ROI4,ROI5,Erro ROI5,ROI6,Erro ROI6,ROI7,Erro ROI7,ROI8,Erro ROI8,ROI9,Erro ROI9,Simuladas
5cm_C.geo,90,CR.mat,30x30,2000000000.0,40,1136172866,1271143803,00Cu,15.2683,0.01502885,16.5575,0.01577265,22.9553,0.018677,45.4937,0.0260307,45.6735,0.0260849,45.8732,0.02613915,46.4831,0.0262988,46.9018,0.0264114,46.5961,0.02632825,2000000000.0
5cm_C.geo,90,CR.mat,30x30,2000000000.0,50,908613247,1277568335,00Cu,25.635,0.020889,29.1375,0.022442,38.8232,0.02595585,64.8098,0.0330786,65.2117,0.0331842,65.4485,0.03324225,65.9839,0.03335225,66.6851,0.0335213,66.0423,0.0333654,2000000000.0
5cm_C.geo,90,CR.mat,30x30,2000000000.0,60,2055055858,2123391404,00Cu,35.9079,0.02614345,41.0903,0.02813225,52.6248,0.0317991,79.8584,0.03855005,80.4087,0.03868535,80.5175,0.0386996,81.0203,0.0387862,81.7549,0.0389524,81.1365,0.0388106,2000000000.0
5cm_C.geo,90,CR.mat,30x30,2000000000.0,70,1796687004,1693252271,00Cu,44.7549,0.0305191,51.1653,0.03276855,63.5417,0.03638365,90.9228,0.04276185,91.5487,0.04291045,91.6646,0.0429266,91.9128,0.0429374,92.8214,0.04314065,91.9496,0.0429448,2000000000.0
5cm_C.geo,90,CR.mat,30x30,2000000000.0,80,537277198,1271143803,00Cu,52.7568,0.03442085,59.8505,0.0367672,72.6231,0.0402953,99.8364,0.04639145,100.664,0.04657715,100.63,0.04655495,100.603,0.0464972,101.614,0.0467167,100.736,0.0465186,2000000000.0
5cm_C.geo,90,CR.mat,30x30,2000000000.0,90,2003707133,1269537670,00Cu,59.4116,0.037643,67.0171,0.0400504,80.0245,0.04351765,106.591,0.0493085,107.611,0.04953535,107.318,0.0494462,107.152,0.0493451,108.282,0.04959055,107.152,0.04933965,2000000000.0
5cm_C.geo,90,CR.mat,30x30,2000000000.0,100,609165413,1699676803,00Cu,73.2125,0.04318885,82.2723,0.04581145,96.1897,0.04926415,122.899,0.054876,124.168,0.0551445,123.79,0.0550455,123.056,0.0548275,124.487,0.055121,123.207,0.0548475,2000000000.0
5cm_C.geo,90,CR.mat,30x30,2000000000.0,110,805915797,2134634335,00Cu,76.7458,0.0450348,86.2558,0.0477586,99.7854,0.051072,125.663,0.0564805,127.085,0.056802,126.635,0.0566815,125.677,0.0564115,127.168,0.0567125,125.878,0.056442,2000000000.0
5cm_C.geo,90,CR.mat,30x30,2000000000.0,120,1507508915,1706101335,00Cu,79.6994,0.0466207,88.9981,0.04924885,102.29,0.05249,127.617,0.057777,128.988,0.058081,128.441,0.0579335,127.524,0.057679,128.937,0.0579655,127.586,0.057679,2000000000.0
5cm_C.geo,90,CR.mat,30x30,2000000000.0,130,1115633376,426926867,00Cu,81.629,0.04779045,91.1465,0.050481,104.194,0.053647,128.926,0.0588205,130.451,0.0591665,129.738,0.05898,128.592,0.0586535,130.154,0.0589775,128.68,0.058658,2000000000.0
5cm_C.geo,90,CR.mat,30x30,2000000000.0,140,578356178,829761739,00Cu,83.3351,0.0487315,92.7188,0.0513515,105.62,0.0544765,129.913,0.05956,131.355,0.059887,130.787,0.0597355,129.54,0.0594005,131.132,0.059717,129.619,0.059397,2000000000.0
